state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
NV,2020-10-05,496,496,496,6.85,6.85,6.85,"7,396","7,376","7,416"
NY,2020-10-05,"1,871","1,816","1,926",3.79,0.33,7.25,"47,617","43,392","51,842"
PR,2020-10-05,328,324,332,3.71,3.71,3.71,"9,015","9,015","9,015"
RI,2020-10-05,97,97,97,5.20,5.20,5.20,"1,866","1,866","1,866"
AK,2020-10-06,45,45,45,2.98,2.98,2.98,"1,510","1,510","1,510"
AR,2020-10-06,652,651,653,8.26,8.03,8.49,"7,858","7,791","7,925"
CO,2020-10-06,405,404,406,4.16,3.99,4.33,"9,722","9,691","9,753"
FL,2020-10-06,"2,506","2,497","2,514",3.43,3.25,3.61,"74,035","73,771","74,299"
HI,2020-10-06,135,131,139,5.67,0.71,10.64,"2,010","1,606","2,414"
IA,2020-10-06,473,472,474,6.03,6.03,6.03,"7,943","7,943","7,943"
IL,2020-10-06,"1,983","1,910","2,055",6.69,5.65,7.72,"28,716","28,214","29,218"
KY,2020-10-06,686,684,688,5.80,5.63,5.96,"11,838","11,821","11,854"
MA,2020-10-06,420,418,421,2.56,2.56,2.56,"16,390","16,390","16,390"
ME,2020-10-06,26,24,28,0.92,-1.00,2.84,"2,824","2,680","2,968"
MN,2020-10-06,602,601,604,5.31,5.18,5.44,"11,340","11,326","11,354"
MS,2020-10-06,544,531,557,7.33,5.85,8.81,"7,432","7,304","7,560"
MT,2020-10-06,239,230,248,9.53,8.20,10.87,"2,448","2,380","2,516"
ND,2020-10-06,210,210,211,11.05,10.49,11.61,"1,905","1,892","1,918"
NJ,2020-10-06,618,613,624,3.30,2.90,3.70,"18,764","18,654","18,874"
NV,2020-10-06,509,509,509,7.05,7.05,7.05,"7,397","7,377","7,417"
NY,2020-10-06,"1,980","1,937","2,022",4.02,0.95,7.09,"47,762","43,992","51,532"
PR,2020-10-06,348,346,351,4.06,4.06,4.06,"8,776","8,776","8,776"
RI,2020-10-06,102,102,102,5.50,5.50,5.50,"1,853","1,781","1,925"
AK,2020-10-07,46,46,46,3.05,3.05,3.05,"1,510","1,510","1,510"
AR,2020-10-07,664,663,664,8.46,8.35,8.58,"7,804","7,743","7,865"
CO,2020-10-07,414,388,440,4.26,1.36,7.16,"9,722","9,406","10,039"
FL,2020-10-07,"2,478","2,478","2,478",3.37,3.37,3.37,"74,558","74,558","74,558"
HI,2020-10-07,132,132,132,5.52,1.26,9.79,"2,010","1,619","2,402"
IA,2020-10-07,482,481,484,6.15,6.15,6.15,"7,949","7,949","7,949"
IL,2020-10-07,"2,007","1,939","2,074",6.77,5.90,7.63,"28,828","28,421","29,234"
KY,2020-10-07,715,714,716,6.04,6.04,6.04,"11,835","11,835","11,835"
MA,2020-10-07,402,399,405,2.45,2.45,2.45,"16,430","16,430","16,430"
ME,2020-10-07,24,23,24,0.82,0.82,0.82,"2,874","2,840","2,908"
MN,2020-10-07,630,621,639,5.49,4.82,6.16,"11,480","11,453","11,507"
MS,2020-10-07,561,544,578,7.54,5.39,9.69,"7,449","7,247","7,651"
MT,2020-10-07,257,248,266,10.11,8.62,11.59,"2,469","2,404","2,534"
ND,2020-10-07,234,233,234,12.32,11.93,12.72,"1,895","1,886","1,904"
NJ,2020-10-07,665,665,665,3.57,3.57,3.57,"18,606","18,513","18,699"
NV,2020-10-07,506,506,506,6.99,6.99,6.99,"7,407","7,388","7,426"
NY,2020-10-07,"1,866","1,823","1,909",3.88,1.37,6.39,"47,791","44,672","50,910"
PR,2020-10-07,393,352,433,4.78,-0.81,10.37,"8,398","7,772","9,023"
RI,2020-10-07,113,113,113,5.79,5.79,5.79,"1,953","1,953","1,953"
AK,2020-10-08,51,51,51,3.38,3.38,3.38,"1,510","1,510","1,510"
AR,2020-10-08,695,691,698,8.84,8.49,9.19,"7,824","7,762","7,887"
CO,2020-10-08,402,400,404,4.12,3.92,4.32,"9,746","9,731","9,762"
FL,2020-10-08,"2,470","2,460","2,479",3.32,3.12,3.53,"75,334","75,018","75,650"
HI,2020-10-08,137,137,137,5.57,1.33,9.80,"1,994","1,609","2,380"
IA,2020-10-08,503,503,503,6.41,6.41,6.41,"7,945","7,940","7,950"
IL,2020-10-08,"2,111","2,050","2,173",7.10,5.41,8.79,"28,876","28,520","29,232"
KY,2020-10-08,700,700,700,5.91,5.91,5.91,"11,841","11,841","11,841"
MA,2020-10-08,414,414,414,2.51,2.51,2.51,"16,486","16,486","16,486"
ME,2020-10-08,24,23,24,0.82,0.20,1.45,"2,855","2,808","2,902"
MN,2020-10-08,648,647,649,5.65,5.65,5.65,"11,478","11,478","11,478"
MS,2020-10-08,562,549,576,7.53,5.83,9.22,"7,483","7,320","7,647"
MT,2020-10-08,271,241,301,10.33,1.84,18.82,"2,527","2,362","2,692"
ND,2020-10-08,204,203,205,10.61,10.29,10.93,"1,923","1,915","1,931"
NJ,2020-10-08,660,660,660,3.51,3.51,3.51,"18,816","18,816","18,816"
NV,2020-10-08,485,485,485,6.70,6.70,6.70,"7,393","7,374","7,412"
NY,2020-10-08,"1,894","1,793","1,995",3.92,1.92,5.93,"47,978","46,989","48,966"
PR,2020-10-08,397,357,437,4.75,-0.77,10.27,"8,537","7,903","9,172"
RI,2020-10-08,110,110,110,5.52,5.52,5.52,"1,993","1,993","1,993"
AK,2020-10-09,64,64,64,4.14,4.14,4.14,"1,545","1,545","1,545"
AR,2020-10-09,671,667,675,8.48,8.04,8.93,"7,899","7,840","7,958"
CO,2020-10-09,418,417,419,4.31,4.22,4.40,"9,698","9,684","9,711"
FL,2020-10-09,"2,464","2,455","2,474",3.31,3.11,3.52,"75,408","75,117","75,699"
HI,2020-10-09,116,113,120,4.71,0.26,9.15,"1,986","1,597","2,375"
IA,2020-10-09,506,504,507,6.44,6.31,6.56,"7,950","7,943","7,957"
IL,2020-10-09,"2,071","2,012","2,130",6.99,5.45,8.53,"28,849","28,665","29,033"
KY,2020-10-09,664,661,666,5.61,5.41,5.81,"11,825","11,804","11,847"
MA,2020-10-09,448,447,450,2.69,2.69,2.69,"16,650","16,650","16,650"
ME,2020-10-09,26,25,27,0.92,-0.09,1.93,"2,850","2,737","2,963"
MN,2020-10-09,622,620,623,5.42,5.29,5.55,"11,469","11,449","11,489"
MS,2020-10-09,558,556,561,7.50,7.14,7.85,"7,460","7,377","7,543"
MT,2020-10-09,270,262,278,10.42,7.96,12.88,"2,496","2,443","2,549"
ND,2020-10-09,243,242,244,11.90,11.31,12.49,"2,042","2,029","2,055"
NJ,2020-10-09,678,678,678,3.61,3.61,3.61,"18,805","18,805","18,805"
NV,2020-10-09,518,510,526,7.18,7.18,7.18,"7,392","7,374","7,410"
NY,2020-10-09,"1,906","1,869","1,944",3.68,3.52,3.84,"51,545","50,678","52,412"
PR,2020-10-09,369,369,369,4.21,4.21,4.21,"8,940","8,940","8,940"
RI,2020-10-09,116,116,116,5.86,5.86,5.86,"1,980","1,980","1,980"
AK,2020-10-10,54,54,54,3.50,3.50,3.50,"1,545","1,545","1,545"
AR,2020-10-10,680,675,685,8.77,8.24,9.31,"7,747","7,682","7,812"
CO,2020-10-10,428,425,430,4.40,4.07,4.73,"9,714","9,659","9,770"
FL,2020-10-10,"2,429","2,419","2,439",3.27,3.05,3.49,"75,296","74,982","75,610"
HI,2020-10-10,128,127,129,5.33,1.48,9.18,"1,989","1,615","2,363"
IA,2020-10-10,470,469,471,6.00,6.00,6.00,"7,934","7,934","7,934"
IL,2020-10-10,"2,063","2,002","2,124",6.99,5.30,8.68,"28,997","28,644","29,350"
KY,2020-10-10,657,651,663,5.52,4.97,6.08,"11,897","11,811","11,982"
MA,2020-10-10,432,429,434,2.59,2.59,2.59,"16,662","16,662","16,662"
ME,2020-10-10,21,20,22,0.73,-0.41,1.86,"2,838","2,700","2,975"
MN,2020-10-10,603,602,604,5.31,5.21,5.41,"11,357","11,339","11,375"
MS,2020-10-10,524,515,534,7.12,5.67,8.57,"7,371","7,206","7,537"
MT,2020-10-10,274,266,282,10.58,7.83,13.34,"2,493","2,422","2,565"
ND,2020-10-10,223,222,224,12.03,11.07,12.98,"1,854","1,830","1,878"
NJ,2020-10-10,685,664,706,3.68,2.02,5.35,"18,604","18,039","19,169"
NV,2020-10-10,533,533,533,7.38,7.38,7.38,"7,392","7,368","7,416"
NY,2020-10-10,"1,925","1,882","1,968",3.68,3.14,4.23,"52,037","51,131","52,943"
PR,2020-10-10,366,362,370,4.16,3.64,4.68,"8,976","8,906","9,046"
RI,2020-10-10,116,116,116,5.91,5.91,5.91,"1,962","1,962","1,962"
AK,2020-10-11,50,50,50,3.24,3.24,3.24,"1,545","1,545","1,545"
AR,2020-10-11,620,615,626,8.12,7.53,8.70,"7,643","7,575","7,710"
CO,2020-10-11,421,418,424,4.32,3.94,4.71,"9,734","9,675","9,793"
FL,2020-10-11,"2,426","2,372","2,480",3.24,2.27,4.22,"75,802","74,669","76,934"
HI,2020-10-11,126,119,134,5.16,0.10,10.22,"1,987","1,613","2,362"
IA,2020-10-11,494,493,494,6.28,6.28,6.28,"7,951","7,951","7,951"
IL,2020-10-11,"2,034","1,973","2,096",6.89,5.37,8.41,"28,996","28,758","29,234"
KY,2020-10-11,687,683,691,5.77,5.39,6.15,"11,900","11,841","11,959"
MA,2020-10-11,421,421,421,2.52,2.52,2.52,"16,681","16,681","16,681"
ME,2020-10-11,28,27,29,1.00,-0.17,2.17,"2,830","2,693","2,967"
MN,2020-10-11,606,603,608,5.39,5.19,5.59,"11,242","11,218","11,266"
MS,2020-10-11,529,522,535,7.21,6.32,8.09,"7,347","7,241","7,454"
MT,2020-10-11,288,280,296,11.17,8.46,13.87,"2,491","2,421","2,560"
ND,2020-10-11,232,230,233,12.38,11.24,13.52,"1,870","1,841","1,899"
NJ,2020-10-11,687,681,692,3.71,3.32,4.09,"18,518","18,404","18,632"
NV,2020-10-11,522,520,525,7.24,6.72,7.76,"7,393","7,327","7,459"
NY,2020-10-11,"1,929","1,881","1,977",3.69,2.71,4.67,"51,932","50,673","53,192"
PR,2020-10-11,353,351,355,4.10,4.10,4.10,"8,801","8,801","8,801"
RI,2020-10-11,122,122,122,6.30,6.30,6.30,"1,936","1,936","1,936"
AK,2020-10-12,55,55,55,3.56,3.56,3.56,"1,545","1,535","1,555"
AR,2020-10-12,722,718,727,9.33,8.82,9.83,"7,736","7,668","7,804"
CO,2020-10-12,414,413,415,4.25,4.05,4.46,"9,737","9,702","9,771"
FL,2020-10-12,"2,479","2,471","2,487",3.32,3.16,3.48,"75,718","75,496","75,939"
HI,2020-10-12,126,125,127,5.25,2.01,8.49,"2,114","1,759","2,470"
IA,2020-10-12,490,489,492,6.24,6.24,6.24,"7,953","7,953","7,953"
IL,2020-10-12,"2,133","2,080","2,187",7.23,5.85,8.62,"28,986","28,826","29,145"
KY,2020-10-12,719,719,719,6.08,6.08,6.08,"11,825","11,825","11,825"
MA,2020-10-12,432,429,435,2.59,2.59,2.59,"16,705","16,705","16,705"
ME,2020-10-12,28,27,29,0.97,-0.02,1.97,"2,846","2,730","2,961"
MN,2020-10-12,619,618,620,5.52,5.52,5.52,"11,205","11,205","11,205"
MS,2020-10-12,558,553,564,7.41,6.65,8.17,"7,543","7,468","7,618"
MT,2020-10-12,312,304,320,12.13,9.83,14.43,"2,481","2,428","2,534"
ND,2020-10-12,212,211,212,11.26,10.90,11.62,"1,879","1,870","1,888"
NJ,2020-10-12,677,665,689,3.64,2.99,4.29,"18,587","18,571","18,603"
NV,2020-10-12,503,503,503,6.94,6.94,6.94,"7,417","7,400","7,434"
NY,2020-10-12,"2,141","2,075","2,207",3.99,2.64,5.34,"53,344","52,520","54,168"
PR,2020-10-12,339,331,347,3.88,3.88,3.88,"8,910","8,910","8,910"
RI,2020-10-12,123,123,123,6.53,6.53,6.53,"1,885","1,885","1,885"
AK,2020-10-13,56,55,57,3.59,2.87,4.32,"1,558","1,533","1,583"
AR,2020-10-13,698,697,700,8.89,8.61,9.16,"7,848","7,791","7,906"
CO,2020-10-13,445,442,448,4.59,4.22,4.96,"9,696","9,658","9,734"
FL,2020-10-13,"2,465","2,456","2,474",3.33,3.15,3.51,"75,061","74,822","75,300"
HI,2020-10-13,130,130,130,5.44,3.54,7.34,"2,133","1,810","2,456"
IA,2020-10-13,509,508,510,6.49,6.49,6.49,"7,942","7,942","7,942"
IL,2020-10-13,"2,300","2,251","2,348",7.76,6.52,9.00,"29,028","28,852","29,205"
KY,2020-10-13,728,728,729,6.16,6.11,6.21,"11,826","11,818","11,834"
MA,2020-10-13,428,426,430,2.56,2.56,2.56,"16,719","16,719","16,719"
ME,2020-10-13,24,23,25,0.84,0.41,1.26,"2,867","2,837","2,897"
MN,2020-10-13,665,665,665,5.83,5.83,5.83,"11,410","11,410","11,410"
MS,2020-10-13,592,587,598,7.84,6.98,8.69,"7,570","7,477","7,663"
MT,2020-10-13,324,317,331,12.38,10.50,14.26,"2,520","2,478","2,562"
ND,2020-10-13,226,225,227,12.11,11.82,12.40,"1,866","1,860","1,872"
NJ,2020-10-13,734,734,734,3.90,3.90,3.90,"18,820","18,820","18,820"
NV,2020-10-13,512,512,512,7.07,7.07,7.07,"7,417","7,400","7,434"
NY,2020-10-13,"2,330","2,292","2,368",4.33,3.45,5.22,"53,515","52,694","54,336"
PR,2020-10-13,335,329,340,3.84,3.84,3.84,"8,889","8,889","8,889"
RI,2020-10-13,126,124,128,6.59,5.97,7.21,"1,912","1,912","1,912"
AK,2020-10-14,60,60,60,3.85,3.85,3.85,"1,558","1,558","1,558"
AR,2020-10-14,682,680,685,8.63,8.28,8.98,"7,897","7,840","7,954"
CO,2020-10-14,448,446,450,4.59,4.30,4.88,"9,756","9,714","9,798"
FL,2020-10-14,"2,422","2,413","2,431",3.26,3.07,3.46,"75,220","74,922","75,519"
HI,2020-10-14,131,125,137,5.47,2.26,8.67,"2,122","1,799","2,446"
IA,2020-10-14,522,522,522,6.65,6.65,6.65,"7,944","7,944","7,944"
IL,2020-10-14,"2,254","2,210","2,298",7.59,6.38,8.80,"29,056","28,786","29,326"
KY,2020-10-14,751,751,751,6.35,6.35,6.35,"11,826","11,826","11,826"
MA,2020-10-14,427,424,430,2.55,2.55,2.55,"16,722","16,722","16,722"
ME,2020-10-14,27,26,28,0.93,0.30,1.56,"2,918","2,886","2,950"
MN,2020-10-14,628,610,645,5.46,3.94,6.98,"11,489","11,306","11,672"
MS,2020-10-14,587,578,595,7.70,6.39,9.02,"7,626","7,484","7,767"
MT,2020-10-14,332,327,338,11.87,10.25,13.49,"2,700","2,657","2,743"
ND,2020-10-14,219,219,219,12.05,12.05,12.05,"1,818","1,818","1,818"
NJ,2020-10-14,762,761,764,4.03,3.87,4.20,"18,910","18,850","18,970"
NV,2020-10-14,495,495,495,6.83,6.83,6.83,"7,418","7,402","7,434"
NY,2020-10-14,"2,157","2,123","2,191",4.01,3.21,4.81,"53,475","52,714","54,236"
PR,2020-10-14,366,365,367,4.18,4.18,4.18,"8,933","8,933","8,933"
RI,2020-10-14,128,128,128,6.42,6.42,6.42,"1,995","1,995","1,995"
AK,2020-10-15,59,59,59,3.79,3.79,3.79,"1,558","1,558","1,558"
AR,2020-10-15,704,704,704,8.85,8.85,8.85,"7,934","7,886","7,982"
CO,2020-10-15,461,460,462,4.73,4.50,4.95,"9,756","9,715","9,798"
FL,2020-10-15,"2,420","2,392","2,448",3.28,2.84,3.73,"74,709","74,430","74,988"
HI,2020-10-15,127,127,127,5.26,3.53,6.99,"2,130","1,829","2,430"
IA,2020-10-15,497,497,497,6.37,6.37,6.37,"7,904","7,904","7,904"
IL,2020-10-15,"2,381","2,378","2,385",7.97,7.72,8.22,"29,191","29,064","29,317"
KY,2020-10-15,740,740,741,6.26,6.26,6.26,"11,829","11,829","11,829"
MA,2020-10-15,437,435,439,2.61,2.61,2.61,"16,722","16,722","16,722"
ME,2020-10-15,30,29,30,1.01,0.58,1.45,"2,907","2,879","2,935"
MN,2020-10-15,636,635,637,5.54,5.46,5.62,"11,483","11,465","11,501"
MS,2020-10-15,564,559,568,7.44,6.77,8.11,"7,582","7,510","7,654"
MT,2020-10-15,342,339,346,12.57,10.16,14.98,"2,614","2,530","2,697"
ND,2020-10-15,224,222,225,11.26,10.89,11.63,"1,985","1,979","1,991"
NJ,2020-10-15,748,736,760,3.96,3.96,3.96,"18,883","18,883","18,883"
NV,2020-10-15,477,475,479,6.62,6.42,6.82,"7,383","7,367","7,399"
NY,2020-10-15,"2,206","2,159","2,252",4.11,3.04,5.17,"53,454","52,537","54,372"
PR,2020-10-15,388,382,395,4.44,4.44,4.44,"8,941","8,941","8,941"
RI,2020-10-15,133,133,133,6.55,6.55,6.55,"2,031","2,031","2,031"
AK,2020-10-16,68,68,68,4.36,4.36,4.36,"1,558","1,558","1,558"
AR,2020-10-16,678,676,679,8.62,8.43,8.80,"7,839","7,793","7,885"
CO,2020-10-16,490,488,491,5.00,4.77,5.23,"9,788","9,753","9,823"
FL,2020-10-16,"2,376","2,368","2,383",3.20,3.05,3.36,"75,138","74,923","75,354"
HI,2020-10-16,119,112,125,5.03,1.86,8.21,"2,119","1,819","2,419"
IA,2020-10-16,502,501,504,6.44,6.44,6.44,"7,905","7,905","7,905"
IL,2020-10-16,"2,360","2,321","2,398",7.95,6.99,8.91,"29,086","28,970","29,202"
KY,2020-10-16,760,757,763,6.42,6.42,6.42,"11,826","11,826","11,826"
MA,2020-10-16,414,414,414,2.47,2.47,2.47,"16,744","16,744","16,744"
ME,2020-10-16,30,29,31,1.03,0.63,1.44,"2,900","2,872","2,928"
MN,2020-10-16,644,643,645,5.66,5.66,5.66,"11,371","11,371","11,371"
MS,2020-10-16,550,550,550,7.36,6.92,7.79,"7,487","7,426","7,548"
MT,2020-10-16,344,315,373,12.70,5.15,20.25,"2,598","2,442","2,754"
ND,2020-10-16,205,200,210,10.41,10.41,10.41,"1,969","1,969","1,969"
NJ,2020-10-16,781,781,781,4.16,4.16,4.16,"18,795","18,795","18,795"
NV,2020-10-16,520,519,521,7.21,7.06,7.36,"7,383","7,368","7,398"
NY,2020-10-16,"2,207","2,163","2,251",4.11,3.13,5.10,"53,464","52,647","54,282"
PR,2020-10-16,372,365,378,4.24,4.24,4.24,"8,941","8,941","8,941"
RI,2020-10-16,127,125,129,6.44,6.44,6.44,"1,972","1,972","1,972"
AK,2020-10-17,69,69,69,4.80,4.80,4.80,"1,437","1,437","1,437"
AR,2020-10-17,656,649,664,8.31,7.27,9.35,"7,875","7,760","7,990"
CO,2020-10-17,496,493,499,5.09,4.75,5.43,"9,746","9,700","9,792"
FL,2020-10-17,"2,358","2,305","2,411",3.17,2.21,4.12,"75,496","74,422","76,570"
HI,2020-10-17,107,101,114,4.47,1.24,7.70,"2,110","1,819","2,401"
IA,2020-10-17,496,494,499,6.34,6.09,6.58,"7,932","7,925","7,939"
IL,2020-10-17,"2,423","2,364","2,482",8.17,6.59,9.75,"29,019","28,646","29,393"
KY,2020-10-17,766,763,769,6.41,6.41,6.41,"11,957","11,957","11,957"
MA,2020-10-17,408,405,410,2.44,2.44,2.44,"16,728","16,728","16,728"
ME,2020-10-17,24,23,24,0.81,-0.67,2.30,"2,894","2,689","3,100"
MN,2020-10-17,658,655,661,5.85,5.64,6.05,"11,255","11,242","11,268"
MS,2020-10-17,544,542,545,7.30,6.75,7.85,"7,451","7,379","7,523"
MT,2020-10-17,355,353,356,13.48,12.24,14.71,"2,542","2,501","2,583"
ND,2020-10-17,209,209,209,10.83,10.10,11.56,"1,930","1,909","1,951"
NJ,2020-10-17,754,754,754,4.03,4.03,4.03,"18,693","18,693","18,693"
NV,2020-10-17,468,461,476,6.50,5.65,7.34,"7,383","7,369","7,397"
NY,2020-10-17,"2,179","2,118","2,239",4.03,2.80,5.27,"54,024","53,324","54,725"
PR,2020-10-17,336,331,340,3.84,3.30,4.39,"8,916","8,914","8,918"
RI,2020-10-17,118,118,118,6.08,6.08,6.08,"1,940","1,940","1,940"
AK,2020-10-18,66,66,66,4.58,4.58,4.58,"1,440","1,440","1,440"
AR,2020-10-18,602,598,606,7.66,7.12,8.20,"7,831","7,759","7,902"
CO,2020-10-18,487,486,489,4.97,4.75,5.19,"9,810","9,769","9,850"
FL,2020-10-18,"2,310","2,301","2,318",3.09,2.91,3.27,"75,715","75,438","75,992"
HI,2020-10-18,107,107,107,4.58,3.36,5.80,"2,096","1,815","2,377"
IA,2020-10-18,508,507,508,6.47,6.47,6.47,"7,938","7,938","7,938"
IL,2020-10-18,"2,366","2,307","2,426",8.00,6.66,9.34,"28,936","28,774","29,098"
KY,2020-10-18,777,775,779,6.53,6.30,6.75,"11,906","11,867","11,945"
MA,2020-10-18,416,416,416,2.49,2.49,2.49,"16,731","16,731","16,731"
ME,2020-10-18,29,27,31,1.00,-0.26,2.27,"2,894","2,863","2,925"
MN,2020-10-18,670,667,673,6.00,5.81,6.20,"11,158","11,145","11,171"
MS,2020-10-18,576,574,579,7.68,7.14,8.23,"7,500","7,434","7,566"
MT,2020-10-18,354,325,383,13.32,5.58,21.06,"2,557","2,395","2,719"
ND,2020-10-18,210,209,210,10.93,10.18,11.68,"1,916","1,895","1,937"
NJ,2020-10-18,783,782,784,4.20,4.11,4.29,"18,643","18,605","18,681"
NV,2020-10-18,480,460,500,6.66,4.53,8.79,"7,383","7,371","7,395"
NY,2020-10-18,"2,121","2,092","2,151",3.93,3.14,4.73,"53,968","53,195","54,740"
PR,2020-10-18,312,312,312,3.65,3.64,3.66,"8,730","8,728","8,732"
RI,2020-10-18,133,132,134,6.85,6.85,6.85,"1,941","1,941","1,941"
AK,2020-10-19,67,67,67,4.67,4.67,4.67,"1,435","1,435","1,435"
AR,2020-10-19,676,676,676,8.42,8.42,8.42,"7,991","7,951","8,031"
CO,2020-10-19,504,497,510,5.09,4.48,5.71,"9,885","9,876","9,893"
FL,2020-10-19,"2,324","2,315","2,332",3.12,2.94,3.29,"75,532","75,298","75,766"
HI,2020-10-19,104,103,105,4.15,3.58,4.73,"2,167","1,904","2,430"
IA,2020-10-19,527,527,527,6.75,6.75,6.75,"7,910","7,910","7,910"
IL,2020-10-19,"2,461","2,388","2,534",8.33,6.25,10.42,"28,922","28,348","29,495"
KY,2020-10-19,796,793,798,6.73,6.73,6.73,"11,824","11,824","11,824"
MA,2020-10-19,424,424,424,2.53,2.53,2.53,"16,731","16,731","16,731"
ME,2020-10-19,22,22,23,0.77,0.10,1.44,"2,919","2,900","2,938"
MN,2020-10-19,706,704,707,6.33,6.33,6.33,"11,149","11,149","11,149"
MS,2020-10-19,624,621,628,8.15,7.78,8.51,"7,667","7,651","7,683"
MT,2020-10-19,358,355,361,13.46,12.42,14.50,"2,564","2,536","2,592"
ND,2020-10-19,200,200,201,10.57,10.24,10.91,"1,896","1,889","1,903"
NJ,2020-10-19,814,814,814,4.36,4.33,4.38,"18,683","18,673","18,693"
NV,2020-10-19,497,497,497,7.04,7.04,7.04,"7,237","7,237","7,237"
NY,2020-10-19,"2,075","2,058","2,092",3.77,3.36,4.18,"55,007","54,630","55,384"
PR,2020-10-19,359,351,367,4.17,4.17,4.17,"8,797","8,797","8,797"
RI,2020-10-19,132,132,132,6.88,6.88,6.88,"1,919","1,919","1,919"
AK,2020-10-20,74,74,74,5.16,5.16,5.16,"1,435","1,435","1,435"
AR,2020-10-20,668,664,671,8.14,7.70,8.58,"8,204","8,153","8,254"
CO,2020-10-20,547,547,548,5.52,5.42,5.62,"9,914","9,899","9,929"
FL,2020-10-20,"2,387","2,365","2,410",3.23,2.86,3.60,"74,879","74,578","75,180"
HI,2020-10-20,95,95,95,3.82,-0.28,7.91,"2,490","2,228","2,751"
IA,2020-10-20,562,560,564,7.20,7.01,7.38,"7,905","7,898","7,912"
IL,2020-10-20,"2,632","2,575","2,689",8.84,7.52,10.16,"29,156","29,087","29,224"
KY,2020-10-20,818,817,818,6.91,6.91,6.91,"11,825","11,825","11,825"
MA,2020-10-20,430,430,430,2.57,2.57,2.57,"16,715","16,715","16,715"
ME,2020-10-20,32,31,32,1.07,0.64,1.50,"2,946","2,932","2,960"
MN,2020-10-20,768,767,769,6.80,6.80,6.80,"11,293","11,293","11,293"
MS,2020-10-20,668,661,674,8.67,8.05,9.30,"7,696","7,668","7,724"
MT,2020-10-20,356,354,359,13.22,12.41,14.02,"2,604","2,583","2,625"
ND,2020-10-20,230,230,230,11.94,11.94,11.94,"1,926","1,926","1,926"
NJ,2020-10-20,866,866,866,4.59,4.56,4.61,"18,882","18,872","18,892"
NV,2020-10-20,538,536,539,7.56,7.56,7.56,"7,287","7,287","7,287"
NY,2020-10-20,"2,247","2,237","2,257",4.07,3.76,4.38,"55,184","54,841","55,527"
PR,2020-10-20,401,395,407,4.58,4.58,4.58,"8,936","8,936","8,936"
RI,2020-10-20,128,128,128,6.49,6.49,6.49,"1,973","1,973","1,973"
AK,2020-10-21,70,70,71,4.91,4.06,5.76,"1,436","1,411","1,461"
AR,2020-10-21,682,682,682,8.22,8.22,8.22,"8,296","8,257","8,335"
CO,2020-10-21,562,561,564,5.65,5.48,5.82,"9,947","9,933","9,961"
FL,2020-10-21,"2,406","2,401","2,410",3.26,3.13,3.40,"74,777","74,545","75,009"
HI,2020-10-21,93,93,93,3.73,-0.29,7.75,"2,491","2,232","2,750"
IA,2020-10-21,564,563,566,7.23,7.10,7.36,"7,901","7,891","7,911"
IL,2020-10-21,"2,758","2,700","2,816",9.20,7.87,10.53,"29,226","29,128","29,325"
KY,2020-10-21,819,818,820,6.91,6.91,6.91,"11,845","11,845","11,845"
MA,2020-10-21,420,420,420,2.51,2.51,2.51,"16,720","16,720","16,720"
ME,2020-10-21,22,21,24,0.79,-0.11,1.69,"2,838","2,801","2,876"
MN,2020-10-21,748,746,750,6.55,6.55,6.55,"11,413","11,413","11,413"
MS,2020-10-21,654,651,657,8.35,8.01,8.69,"7,832","7,812","7,852"
MT,2020-10-21,366,365,367,13.29,12.73,13.85,"2,619","2,601","2,637"
ND,2020-10-21,290,290,290,14.93,14.93,14.93,"1,942","1,942","1,942"
NJ,2020-10-21,884,881,888,4.64,4.64,4.64,"19,069","19,069","19,069"
NV,2020-10-21,510,510,510,7.17,7.17,7.17,"7,287","7,287","7,287"
NY,2020-10-21,"2,298","2,289","2,307",4.18,3.86,4.49,"54,990","54,624","55,356"
PR,2020-10-21,404,399,410,4.61,4.61,4.61,"8,952","8,952","8,952"
RI,2020-10-21,137,137,137,6.89,6.89,6.89,"1,989","1,989","1,989"
AK,2020-10-22,87,87,87,6.03,6.03,6.03,"1,442","1,442","1,442"
AR,2020-10-22,682,675,688,8.18,7.32,9.04,"8,332","8,235","8,428"
CO,2020-10-22,560,558,562,5.64,5.07,6.20,"9,937","9,827","10,047"
FL,2020-10-22,"2,380","2,378","2,383",3.23,3.13,3.33,"74,754","74,569","74,939"
HI,2020-10-22,86,86,86,3.46,-0.33,7.24,"2,489","2,236","2,742"
IA,2020-10-22,557,556,558,7.13,7.04,7.22,"7,912","7,905","7,919"
IL,2020-10-22,"2,758","2,699","2,817",9.21,7.88,10.55,"29,203","29,119","29,286"
KY,2020-10-22,844,844,844,7.13,7.13,7.13,"11,839","11,839","11,839"
MA,2020-10-22,450,449,451,2.69,2.69,2.69,"16,713","16,713","16,713"
ME,2020-10-22,22,22,23,0.80,0.23,1.37,"2,829","2,799","2,859"
MN,2020-10-22,738,736,740,6.45,6.45,6.45,"11,447","11,447","11,447"
MS,2020-10-22,663,655,671,8.44,7.38,9.51,"7,853","7,746","7,960"
MT,2020-10-22,379,379,379,13.67,13.44,13.90,"2,626","2,618","2,634"
